"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"ddtidp_843","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI triangular part of the inferior frontal gyrus","","","dmri_dti.md.gm_cort.destrieux_g.front.inf.triangul.rh,dmri_dtimdgm_cortdestrieux_gfrontinftriangulrh"
"ddtidp_844","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI middle frontal gyrus","","","dmri_dti.md.gm_cort.destrieux_g.front.middle.rh,dmri_dtimdgm_cortdestrieux_gfrontmiddlerh"
"ddtidp_845","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI superior frontal gyrus","","","dmri_dti.md.gm_cort.destrieux_g.front.sup.rh,dmri_dtimdgm_cortdestrieux_gfrontsuprh"
"ddtidp_846","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI long insular gyrus and central sulcus of the insula","","","dmri_dti.md.gm_cort.destrieux_g.ins.lg.and.s.cent.ins.rh,dmri_dtimdgm_cortdestrieux_ginslgandscentinsrh"
"ddtidp_847","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI short insular gyri","","","dmri_dti.md.gm_cort.destrieux_g.insular.short.rh,dmri_dtimdgm_cortdestrieux_ginsularshortrh"
"ddtidp_848","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI middle occipital gyrus","","","dmri_dti.md.gm_cort.destrieux_g.occipital.middle.rh,dmri_dtimdgm_cortdestrieux_goccipitalmiddlerh"
"ddtidp_849","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI superior occipital gyrus","","","dmri_dti.md.gm_cort.destrieux_g.occipital.sup.rh,dmri_dtimdgm_cortdestrieux_goccipitalsuprh"
"ddtidp_850","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI lateral occipito-temporal gyrus","","","dmri_dti.md.gm_cort.destrieux_g.oc.temp.lat.fusifor.rh,dmri_dtimdgm_cortdestrieux_goctemplatfusiforrh"
"ddtidp_851","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI lingual gyrus","","","dmri_dti.md.gm_cort.destrieux_g.oc.temp.med.lingual.rh,dmri_dtimdgm_cortdestrieux_goctempmedlingualrh"
"ddtidp_852","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI parahippocampal gyrus","","","dmri_dti.md.gm_cort.destrieux_g.oc.temp.med.parahip.rh,dmri_dtimdgm_cortdestrieux_goctempmedparahiprh"
"ddtidp_853","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI orbital gyri","","","dmri_dti.md.gm_cort.destrieux_g.orbital.rh,dmri_dtimdgm_cortdestrieux_gorbitalrh"
"ddtidp_854","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI angular gyrus","","","dmri_dti.md.gm_cort.destrieux_g.pariet.inf.angular.rh,dmri_dtimdgm_cortdestrieux_gparietinfangularrh"
"ddtidp_855","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI supramarginal gyrus","","","dmri_dti.md.gm_cort.destrieux_g.pariet.inf.supramar.rh,dmri_dtimdgm_cortdestrieux_gparietinfsupramarrh"
"ddtidp_856","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI superior parietal lobule","","","dmri_dti.md.gm_cort.destrieux_g.parietal.sup.rh,dmri_dtimdgm_cortdestrieux_gparietalsuprh"
"ddtidp_857","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI postcentral gyrus","","","dmri_dti.md.gm_cort.destrieux_g.postcentral.rh,dmri_dtimdgm_cortdestrieux_gpostcentralrh"
"ddtidp_858","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI precentral gyrus","","","dmri_dti.md.gm_cort.destrieux_g.precentral.rh,dmri_dtimdgm_cortdestrieux_gprecentralrh"
"ddtidp_859","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI precuneus","","","dmri_dti.md.gm_cort.destrieux_g.precuneus.rh,dmri_dtimdgm_cortdestrieux_gprecuneusrh"
"ddtidp_860","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI gyrus rectus","","","dmri_dti.md.gm_cort.destrieux_g.rectus.rh,dmri_dtimdgm_cortdestrieux_grectusrh"
"ddtidp_861","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI subcallosal gyrus","","","dmri_dti.md.gm_cort.destrieux_g.subcallosal.rh,dmri_dtimdgm_cortdestrieux_gsubcallosalrh"
"ddtidp_862","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI anterior transverse temporal gyrus","","","dmri_dti.md.gm_cort.destrieux_g.temp.sup.g.t.transv.rh,dmri_dtimdgm_cortdestrieux_gtempsupgttransvrh"
"ddtidp_863","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI lateral aspect of the superior temporal gyrus","","","dmri_dti.md.gm_cort.destrieux_g.temp.sup.lateral.rh,dmri_dtimdgm_cortdestrieux_gtempsuplateralrh"
"ddtidp_864","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI planum polare of the superior temporal gyrus","","","dmri_dti.md.gm_cort.destrieux_g.temp.sup.plan.polar.rh,dmri_dtimdgm_cortdestrieux_gtempsupplanpolarrh"
"ddtidp_865","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI planum temporale","","","dmri_dti.md.gm_cort.destrieux_g.temp.sup.plan.tempo.rh,dmri_dtimdgm_cortdestrieux_gtempsupplantemporh"
"ddtidp_866","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI inferior temporal gyrus","","","dmri_dti.md.gm_cort.destrieux_g.temporal.inf.rh,dmri_dtimdgm_cortdestrieux_gtemporalinfrh"
"ddtidp_867","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI middle temporal gyrus","","","dmri_dti.md.gm_cort.destrieux_g.temporal.middle.rh,dmri_dtimdgm_cortdestrieux_gtemporalmiddlerh"
