"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"tfsstabwdp_825","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI cuneus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.cuneus.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gcuneusrh"
"tfsstabwdp_826","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI opercular part of the inferior frontal gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.front.inf.opercular.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gfrontinfopercularrh"
"tfsstabwdp_827","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI orbital part of the inferior frontal gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.front.inf.orbital.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gfrontinforbitalrh"
"tfsstabwdp_828","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI triangular part of the inferior frontal gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.front.inf.triangul.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gfrontinftriangulrh"
"tfsstabwdp_829","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI middle frontal gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.front.middle.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gfrontmiddlerh"
"tfsstabwdp_830","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI superior frontal gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.front.sup.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gfrontsuprh"
"tfsstabwdp_831","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI long insular gyrus and central sulcus of the insula","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.ins.lg.and.s.cent.ins.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_ginslgandscentinsrh"
"tfsstabwdp_832","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI short insular gyri","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.insular.short.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_ginsularshortrh"
"tfsstabwdp_833","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI middle occipital gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.occipital.middle.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_goccipitalmiddlerh"
"tfsstabwdp_834","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI superior occipital gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.occipital.sup.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_goccipitalsuprh"
